"year";"month";"date";"site";"sampling_effort";"sampling_na"
1995;1;"1995-A";"18A - Carry";0;0
1995;1;"1995-A";"21E - ile embiez";0;0
1995;1;"1995-A";"22B - Toulon gde rade";0;0
1995;1;"1995-A";"27B - Frejus est";0;0
1995;1;"1995-A";"Agde";0;0
1995;1;"1995-A";"Anse Moulinet";1;1
1995;1;"1995-A";"Anse de Carteau 2";0;0
1995;1;"1995-A";"Antifer ponton pétrolier";1;1
1995;1;"1995-A";"Antifer ponton pêche";1;1
1995;1;"1995-A";"Antoine";3;1
1995;1;"1995-A";"Arcachon - Bouée 7";0;0
1995;1;"1995-A";"At so";0;0
1995;1;"1995-A";"Auger";0;0
1995;1;"1995-A";"BIN - Biguglia nord";0;0
1995;1;"1995-A";"BIS - Biguglia sud";0;0
1995;2;"1995-B";"18A - Carry";0;0
1995;2;"1995-B";"21E - ile embiez";0;0
1995;2;"1995-B";"22B - Toulon gde rade";0;0
1995;2;"1995-B";"27B - Frejus est";0;0
1995;2;"1995-B";"Agde";0;0
1995;2;"1995-B";"Anse Moulinet";0;0
1995;2;"1995-B";"Anse de Carteau 2";0;0
1995;2;"1995-B";"Antifer ponton pétrolier";1;1
1995;2;"1995-B";"Antifer ponton pêche";1;1
1995;2;"1995-B";"Antoine";2;1
1995;2;"1995-B";"Arcachon - Bouée 7";0;0
1995;2;"1995-B";"At so";1;1
1995;2;"1995-B";"Auger";0;0
1995;2;"1995-B";"BIN - Biguglia nord";0;0
1995;2;"1995-B";"BIS - Biguglia sud";0;0
1995;3;"1995-C";"18A - Carry";0;0
1995;3;"1995-C";"21E - ile embiez";0;0
1995;3;"1995-C";"22B - Toulon gde rade";0;0
1995;3;"1995-C";"27B - Frejus est";0;0
1995;3;"1995-C";"Agde";0;0
1995;3;"1995-C";"Anse Moulinet";0;0
1995;3;"1995-C";"Anse de Carteau 2";0;0
1995;3;"1995-C";"Antifer ponton pétrolier";2;1
1995;3;"1995-C";"Antifer ponton pêche";2;1
1995;3;"1995-C";"Antoine";2;1
1995;3;"1995-C";"Arcachon - Bouée 7";0;0
1995;3;"1995-C";"At so";2;1
1995;3;"1995-C";"Auger";0;0
1995;3;"1995-C";"BIN - Biguglia nord";0;0
1995;3;"1995-C";"BIS - Biguglia sud";0;0
1995;4;"1995-D";"18A - Carry";0;0
1995;4;"1995-D";"21E - ile embiez";0;0
1995;4;"1995-D";"22B - Toulon gde rade";0;0
1995;4;"1995-D";"27B - Frejus est";0;0
1995;4;"1995-D";"Agde";0;0
1995;4;"1995-D";"Anse Moulinet";0;0
1995;4;"1995-D";"Anse de Carteau 2";0;0
1995;4;"1995-D";"Antifer ponton pétrolier";1;1
1995;4;"1995-D";"Antifer ponton pêche";2;1
1995;4;"1995-D";"Antoine";2;1
1995;4;"1995-D";"Arcachon - Bouée 7";0;0
1995;4;"1995-D";"At so";2;1
1995;4;"1995-D";"Auger";2;1
1995;4;"1995-D";"BIN - Biguglia nord";0;0
1995;4;"1995-D";"BIS - Biguglia sud";0;0
1995;5;"1995-E";"18A - Carry";0;0
1995;5;"1995-E";"21E - ile embiez";0;0
1995;5;"1995-E";"22B - Toulon gde rade";0;0
1995;5;"1995-E";"27B - Frejus est";0;0
1995;5;"1995-E";"Agde";0;0
1995;5;"1995-E";"Anse Moulinet";1;1
1995;5;"1995-E";"Anse de Carteau 2";0;0
1995;5;"1995-E";"Antifer ponton pétrolier";0;0
1995;5;"1995-E";"Antifer ponton pêche";2;1
1995;5;"1995-E";"Antoine";3;1
1995;5;"1995-E";"Arcachon - Bouée 7";0;0
1995;5;"1995-E";"At so";2;1
1995;5;"1995-E";"Auger";2;1
1995;5;"1995-E";"BIN - Biguglia nord";0;0
1995;5;"1995-E";"BIS - Biguglia sud";0;0
1995;6;"1995-F";"18A - Carry";0;0
1995;6;"1995-F";"21E - ile embiez";0;0
1995;6;"1995-F";"22B - Toulon gde rade";0;0
1995;6;"1995-F";"27B - Frejus est";0;0
1995;6;"1995-F";"Agde";0;0
1995;6;"1995-F";"Anse Moulinet";0;0
1995;6;"1995-F";"Anse de Carteau 2";0;0
1995;6;"1995-F";"Antifer ponton pétrolier";0;0
1995;6;"1995-F";"Antifer ponton pêche";2;1
1995;6;"1995-F";"Antoine";2;1
1995;6;"1995-F";"Arcachon - Bouée 7";0;0
1995;6;"1995-F";"At so";1;1
1995;6;"1995-F";"Auger";1;1
1995;6;"1995-F";"BIN - Biguglia nord";0;0
1995;6;"1995-F";"BIS - Biguglia sud";0;0
1995;7;"1995-G";"18A - Carry";0;0
1995;7;"1995-G";"21E - ile embiez";0;0
1995;7;"1995-G";"22B - Toulon gde rade";0;0
1995;7;"1995-G";"27B - Frejus est";0;0
1995;7;"1995-G";"Agde";0;0
1995;7;"1995-G";"Anse Moulinet";1;1
1995;7;"1995-G";"Anse de Carteau 2";0;0
1995;7;"1995-G";"Antifer ponton pétrolier";0;0
1995;7;"1995-G";"Antifer ponton pêche";1;1
1995;7;"1995-G";"Antoine";2;1
1995;7;"1995-G";"Arcachon - Bouée 7";0;0
1995;7;"1995-G";"At so";1;1
1995;7;"1995-G";"Auger";2;1
1995;7;"1995-G";"BIN - Biguglia nord";0;0
1995;7;"1995-G";"BIS - Biguglia sud";0;0
1995;8;"1995-H";"18A - Carry";0;0
1995;8;"1995-H";"21E - ile embiez";0;0
1995;8;"1995-H";"22B - Toulon gde rade";0;0
1995;8;"1995-H";"27B - Frejus est";0;0
1995;8;"1995-H";"Agde";0;0
1995;8;"1995-H";"Anse Moulinet";0;0
1995;8;"1995-H";"Anse de Carteau 2";0;0
1995;8;"1995-H";"Antifer ponton pétrolier";0;0
1995;8;"1995-H";"Antifer ponton pêche";3;1
1995;8;"1995-H";"Antoine";2;1
1995;8;"1995-H";"Arcachon - Bouée 7";0;0
1995;8;"1995-H";"At so";1;1
1995;8;"1995-H";"Auger";3;1
1995;8;"1995-H";"BIN - Biguglia nord";0;0
1995;8;"1995-H";"BIS - Biguglia sud";0;0
1995;9;"1995-I";"18A - Carry";0;0
1995;9;"1995-I";"21E - ile embiez";0;0
1995;9;"1995-I";"22B - Toulon gde rade";0;0
1995;9;"1995-I";"27B - Frejus est";0;0
1995;9;"1995-I";"Agde";0;0
1995;9;"1995-I";"Anse Moulinet";1;1
1995;9;"1995-I";"Anse de Carteau 2";0;0
1995;9;"1995-I";"Antifer ponton pétrolier";0;0
1995;9;"1995-I";"Antifer ponton pêche";2;1
1995;9;"1995-I";"Antoine";2;1
1995;9;"1995-I";"Arcachon - Bouée 7";0;0
1995;9;"1995-I";"At so";1;1
1995;9;"1995-I";"Auger";2;1
1995;9;"1995-I";"BIN - Biguglia nord";0;0
1995;9;"1995-I";"BIS - Biguglia sud";0;0
1995;10;"1995-J";"18A - Carry";0;0
1995;10;"1995-J";"21E - ile embiez";0;0
1995;10;"1995-J";"22B - Toulon gde rade";0;0
1995;10;"1995-J";"27B - Frejus est";0;0
1995;10;"1995-J";"Agde";0;0
1995;10;"1995-J";"Anse Moulinet";0;0
1995;10;"1995-J";"Anse de Carteau 2";0;0
1995;10;"1995-J";"Antifer ponton pétrolier";0;0
1995;10;"1995-J";"Antifer ponton pêche";1;1
1995;10;"1995-J";"Antoine";3;1
1995;10;"1995-J";"Arcachon - Bouée 7";0;0
1995;10;"1995-J";"At so";1;1
1995;10;"1995-J";"Auger";3;1
1995;10;"1995-J";"BIN - Biguglia nord";0;0
1995;10;"1995-J";"BIS - Biguglia sud";0;0
1995;11;"1995-K";"18A - Carry";0;0
1995;11;"1995-K";"21E - ile embiez";0;0
1995;11;"1995-K";"22B - Toulon gde rade";0;0
1995;11;"1995-K";"27B - Frejus est";0;0
1995;11;"1995-K";"Agde";0;0
1995;11;"1995-K";"Anse Moulinet";0;0
1995;11;"1995-K";"Anse de Carteau 2";0;0
1995;11;"1995-K";"Antifer ponton pétrolier";0;0
1995;11;"1995-K";"Antifer ponton pêche";1;1
1995;11;"1995-K";"Antoine";2;1
1995;11;"1995-K";"Arcachon - Bouée 7";0;0
1995;11;"1995-K";"At so";1;1
1995;11;"1995-K";"Auger";2;1
1995;11;"1995-K";"BIN - Biguglia nord";0;0
1995;11;"1995-K";"BIS - Biguglia sud";0;0
1995;12;"1995-L";"18A - Carry";0;0
1995;12;"1995-L";"21E - ile embiez";0;0
1995;12;"1995-L";"22B - Toulon gde rade";0;0
1995;12;"1995-L";"27B - Frejus est";0;0
1995;12;"1995-L";"Agde";0;0
1995;12;"1995-L";"Anse Moulinet";0;0
1995;12;"1995-L";"Anse de Carteau 2";0;0
1995;12;"1995-L";"Antifer ponton pétrolier";0;0
1995;12;"1995-L";"Antifer ponton pêche";1;1
1995;12;"1995-L";"Antoine";1;1
1995;12;"1995-L";"Arcachon - Bouée 7";0;0
1995;12;"1995-L";"At so";1;1
1995;12;"1995-L";"Auger";1;1
1995;12;"1995-L";"BIN - Biguglia nord";0;0
1995;12;"1995-L";"BIS - Biguglia sud";0;0
1996;1;"1996-A";"18A - Carry";0;0
1996;1;"1996-A";"21E - ile embiez";0;0
1996;1;"1996-A";"22B - Toulon gde rade";0;0
1996;1;"1996-A";"27B - Frejus est";0;0
1996;1;"1996-A";"Agde";0;0
1996;1;"1996-A";"Anse Moulinet";1;1
1996;1;"1996-A";"Anse de Carteau 2";0;0
1996;1;"1996-A";"Antifer ponton pétrolier";0;0
1996;1;"1996-A";"Antifer ponton pêche";2;1
1996;1;"1996-A";"Antoine";2;1
1996;1;"1996-A";"Arcachon - Bouée 7";0;0
1996;1;"1996-A";"At so";1;1
1996;1;"1996-A";"Auger";2;1
1996;1;"1996-A";"BIN - Biguglia nord";0;0
1996;1;"1996-A";"BIS - Biguglia sud";0;0
1996;2;"1996-B";"18A - Carry";0;0
1996;2;"1996-B";"21E - ile embiez";0;0
1996;2;"1996-B";"22B - Toulon gde rade";0;0
1996;2;"1996-B";"27B - Frejus est";0;0
1996;2;"1996-B";"Agde";0;0
1996;2;"1996-B";"Anse Moulinet";0;0
1996;2;"1996-B";"Anse de Carteau 2";0;0
1996;2;"1996-B";"Antifer ponton pétrolier";0;0
1996;2;"1996-B";"Antifer ponton pêche";1;1
1996;2;"1996-B";"Antoine";1;1
1996;2;"1996-B";"Arcachon - Bouée 7";0;0
1996;2;"1996-B";"At so";0;0
1996;2;"1996-B";"Auger";1;1
1996;2;"1996-B";"BIN - Biguglia nord";0;0
1996;2;"1996-B";"BIS - Biguglia sud";0;0
1996;3;"1996-C";"18A - Carry";0;0
1996;3;"1996-C";"21E - ile embiez";0;0
1996;3;"1996-C";"22B - Toulon gde rade";0;0
1996;3;"1996-C";"27B - Frejus est";0;0
1996;3;"1996-C";"Agde";0;0
1996;3;"1996-C";"Anse Moulinet";0;0
1996;3;"1996-C";"Anse de Carteau 2";0;0
1996;3;"1996-C";"Antifer ponton pétrolier";0;0
1996;3;"1996-C";"Antifer ponton pêche";2;1
1996;3;"1996-C";"Antoine";3;1
1996;3;"1996-C";"Arcachon - Bouée 7";0;0
1996;3;"1996-C";"At so";2;1
1996;3;"1996-C";"Auger";2;1
1996;3;"1996-C";"BIN - Biguglia nord";0;0
1996;3;"1996-C";"BIS - Biguglia sud";0;0
1996;4;"1996-D";"18A - Carry";0;0
1996;4;"1996-D";"21E - ile embiez";0;0
1996;4;"1996-D";"22B - Toulon gde rade";0;0
1996;4;"1996-D";"27B - Frejus est";0;0
1996;4;"1996-D";"Agde";0;0
1996;4;"1996-D";"Anse Moulinet";0;0
1996;4;"1996-D";"Anse de Carteau 2";0;0
1996;4;"1996-D";"Antifer ponton pétrolier";0;0
1996;4;"1996-D";"Antifer ponton pêche";0;0
1996;4;"1996-D";"Antoine";2;1
1996;4;"1996-D";"Arcachon - Bouée 7";0;0
1996;4;"1996-D";"At so";2;1
