"hubs$vector";"Phyto"
1;"Pseudo-nitzschia"
0,996735574420908;"Chaetoceros"
0,942884255691723;"Leptocylindrus"
0,849140457704432;"Dactyliosolen"
0,819853106814905;"Guinardia"
0,753896287319866;"Rhizosolenia"
0,604775150596016;"Scrippsiella"
0,567264244555696;"Thalassionema"
0,512401086355288;"Pleurosigma"
0,464969086781045;"Cylindrotheca"
0,456693122487089;"Gyrodinium"
0,39049854744648;"Gymnodinium"
0,38882640783499;"Prorocentrum"
0,292246515830232;"Nitzschia"
0,13247211853115;"Navicula"
0,00788127751901176;"Licmophora"
