"hubs$vector";"Phyto"
1;"Chaetoceros"
0,972025132433189;"Pseudo-nitzschia"
0,855058487412835;"Leptocylindrus"
0,836564917508388;"Dactyliosolen"
0,697931320517263;"Scrippsiella"
0,639937622252036;"Skeletonema"
0,586115213318191;"Protoperidinium"
0,52255988019596;"Gyrodinium"
0,511164196066544;"Thalassionema"
0,475485271625174;"Prorocentrum"
0,466533230326699;"Cylindrotheca"
0,45553992841807;"Pleurosigma"
0,350159326162533;"Gymnodinium"
0,257870282670307;"Nitzschia"
0,0915520776337696;"Navicula"
0,0535400423609923;"Cocconeis"
0,0484406915417749;"Cryptophyceae.x"
0,0345940295948824;"Licmophora"
