"hubs$vector";"Phyto"
1;"Guinardia"
0,938030779496649;"Pseudo-nitzschia"
0,932226103567083;"Protoperidinium"
0,920728265288182;"Gyrodinium"
0,917591944433548;"Chaetoceros"
0,812110815775721;"Rhizosolenia"
0,808172573167709;"Ciliophora.x"
0,780715142598863;"Prorocentrum"
0,772085588127599;"Leptocylindrus"
0,757919227813929;"Katodinium"
0,734370991935512;"Cryptophyceae.x"
0,69261657773549;"Pleurosigma"
0,678041865164497;"Cerataulina"
0,638637302166332;"Dactyliosolen"
0,530821019921501;"Asterionellopsis"
0,493946416801041;"Scrippsiella"
0,493188871106632;"Gymnodinium"
0,473724297210105;"Heterocapsa"
0,456415422136291;"Torodinium"
0,444227315668127;"Navicula"
0,440901884541969;"Diplopsalis"
0,425407213244209;"Thalassionema"
0,309766346833762;"Ditylum"
0,235072981204857;"Paralia"
0,224110793039493;"Nitzschia"
0,207694938201685;"Thalassiosira"
0,143189432668291;"Cylindrotheca"
0,0906729883014582;"Skeletonema"
