"hubs$vector";"Phyto"
1;"Protoperidinium"
0,942106797214927;"Prorocentrum"
0,91905409855649;"Pseudo-nitzschia"
0,883719537128526;"Chaetoceros"
0,83199292850415;"Scrippsiella"
0,720610297806532;"Rhizosolenia"
0,626652136956338;"Pleurosigma"
0,622736619671825;"Ciliophora.x"
0,493528175828928;"Dictyocha"
0,456384383413814;"Cylindrotheca"
0,403276595349831;"Pennées"
0,382180607780021;"Thalassiosira"
0,361213152599315;"Centriques"
0,351879395409047;"Navicula"
0,344937421519865;"Skeletonema"
0,29313389634987;"Paralia"
0,275654406958491;"Ditylum"
0,198179494117338;"Nitzschia"
