Taxon;Phylum.Classe
Acanthogonyaulax spinifera;Dinophyceae
Acanthoica;Haptophyta
Achnanthaceae;Bacillariophyceae
Achnanthes;Bacillariophyceae
Achnanthes brevipes;Bacillariophyceae
Achnanthidium;Bacillariophyceae
Achnanthidium capitatum;Bacillariophyceae
Achradina;Dinophyceae
Actinastrum;Chlorophyta
Actinocyclus;Bacillariophyceae
Actinocyclus normanii;Bacillariophyceae
Actinoptychus;Bacillariophyceae
Actinoptychus octonarius;Bacillariophyceae
Actinoptychus senarius;Bacillariophyceae
Actinoptychus splendens;Bacillariophyceae
Adenoides;Dinophyceae
Adenoides eludens;Dinophyceae
Adlafia;Bacillariophyceae
Akashiwo;Dinophyceae
Akashiwo sanguinea;Dinophyceae
Alexandrium;Dinophyceae
Alexandrium affine;Dinophyceae
Alexandrium andersonii;Dinophyceae
Alexandrium catenella;Dinophyceae
Alexandrium hiranoi;Dinophyceae
Alexandrium insuetum;Dinophyceae
Alexandrium leei;Dinophyceae
Alexandrium margalefii;Dinophyceae
Alexandrium minutum;Dinophyceae
Alexandrium ostenfeldii;Dinophyceae
Alexandrium pseudogonyaulax;Dinophyceae
Alexandrium tamarense;Dinophyceae
Alexandrium tamarense + catenella + tamutum;Dinophyceae
Alexandrium tamutum;Dinophyceae
Amphidiniopsis;Dinophyceae
Amphidinium;Dinophyceae
Amphidinium + Katodinium;Dinophyceae
Amphidinium acutissimum;Dinophyceae
Amphidinium carterae;Dinophyceae
Amphidinium carterae + operculatum;Dinophyceae
Amphidinium crassum;Dinophyceae
Amphidinium sphenoides;Dinophyceae
Amphidoma;Dinophyceae
Amphidomataceae;Dinophyceae
Amphipleura;Bacillariophyceae
Amphiprora;Bacillariophyceae
Amphiprora conserta;Bacillariophyceae
Amphisolenia bidentata;Dinophyceae
Amphisolenia schroederi;Dinophyceae
Amphora;Bacillariophyceae
Amphora bigibba;Bacillariophyceae
Amphora bigibba var. bigibba;Bacillariophyceae
Amphora crassa;Bacillariophyceae
Amphora decussata;Bacillariophyceae
Amphora laevis;Bacillariophyceae
Amphora lineolata;Bacillariophyceae
Amphora obtusa;Bacillariophyceae
Amphora ocellata;Bacillariophyceae
Amphora ostrearia;Bacillariophyceae
Amphora ovalis;Bacillariophyceae
Amphora proboscidea;Bacillariophyceae
Amylax;Dinophyceae
Amylax triacantha;Dinophyceae
Amylax triacantha + buxus;Dinophyceae
Anabaena;Cyanophyceae
Anisonema;Euglenozoa
Ankistrodesmus;Chlorophyta
Apedinella radians;Dictyochophyceae
Aphanocapsa;Cyanophyceae
Archaeperidinium minutum;Dinophyceae
Arcuatasigma closterioides;Bacillariophyceae
Ardissonea;Bacillariophyceae
Asterionella;Bacillariophyceae
Asterionella + Asterionellopsis + Asteroplanus;Bacillariophyceae
Asterionella formosa;Bacillariophyceae
Asterionella formosa var. gracillima;Bacillariophyceae
Asterionella notata;Bacillariophyceae
Asterionellopsis;Bacillariophyceae
Asterionellopsis glacialis;Bacillariophyceae
Asterodinium;Dinophyceae
Asterolampra;Bacillariophyceae
Asterolampra marylandica;Bacillariophyceae
Asterolampraceae;Bacillariophyceae
Asteromphalus;Bacillariophyceae
Asteromphalus cleveanus;Bacillariophyceae
Asteromphalus flabellatus;Bacillariophyceae
Asteromphalus heptactis;Bacillariophyceae
Asteroplanus;Bacillariophyceae
Asteroplanus karianus;Bacillariophyceae
Attheya;Bacillariophyceae
Attheya armata;Bacillariophyceae
Aulacodiscus;Bacillariophyceae
Aulacoseira;Bacillariophyceae
Aulacoseira granulata;Bacillariophyceae
Auricula;Bacillariophyceae
Auricula complexa;Bacillariophyceae
Azadinium;Dinophyceae
Azadinium caudatum;Dinophyceae
Azadinium spinosum;Dinophyceae
Bacillaria;Bacillariophyceae
Bacillaria paxillifera;Bacillariophyceae
Bacillariaceae;Bacillariophyceae
Bacillariophyceae;Bacillariophyceae
Bacillariophycidae;Bacillariophyceae
Bacteriastrum;Bacillariophyceae
Bacteriastrum biconicum;Bacillariophyceae
Bacteriastrum comosum;Bacillariophyceae
Bacteriastrum delicatulum;Bacillariophyceae
Bacteriastrum elegans;Bacillariophyceae
Bacteriastrum elongatum;Bacillariophyceae
Bacteriastrum furcatum;Bacillariophyceae
Bacteriastrum hyalinum;Bacillariophyceae
Bacteriastrum jadranum;Bacillariophyceae
Bacteriastrum mediterraneum;Bacillariophyceae
Bellerochea;Bacillariophyceae
Bellerochea horologicalis;Bacillariophyceae
Berkeleya;Bacillariophyceae
Biddulphia;Bacillariophyceae
Biddulphia biddulphiana;Bacillariophyceae
Biddulphia membranacea;Bacillariophyceae
Biddulphia reticulata f. reticulata;Bacillariophyceae
Biddulphia rhombus;Bacillariophyceae
Biddulphia tuomeyi;Bacillariophyceae
Biddulphiaceae;Bacillariophyceae
Biddulphiopsis;Bacillariophyceae
Biddulphiopsis membranacea;Bacillariophyceae
Biddulphiopsis titiana;Bacillariophyceae
Bleakeleya;Bacillariophyceae
Bleakeleya notata;Bacillariophyceae
Blepharocysta;Dinophyceae
Brachidinium;Dinophyceae
Brachidinium capitatum;Dinophyceae
Brockmanniella;Bacillariophyceae
Brockmanniella brockmannii;Bacillariophyceae
Cachonodinium caudatum;Dinophyceae
Calciopappus caudatus;Haptophyta
Calciosolenia brasiliensis;Haptophyta
Calciosolenia murrayi;Haptophyta
Caloneis;Bacillariophyceae
Calyptrosphaera;Haptophyta
Campylodiscus;Bacillariophyceae
Campylodiscus decorus;Bacillariophyceae
Campyloneis;Bacillariophyceae
Campylosira;Bacillariophyceae
Campylosira cymbelliformis;Bacillariophyceae
Carinasigma rectum;Bacillariophyceae
Catenula;Bacillariophyceae
Centriques;Bacillariophyceae
Centritractus;Xanthophyceae
Centrodinium;Dinophyceae
Cerataulina;Bacillariophyceae
Cerataulina bicornis;Bacillariophyceae
Cerataulina dentata;Bacillariophyceae
Cerataulina pelagica;Bacillariophyceae
Cerataulus;Bacillariophyceae
Cerataulus laevis var. paludosa;Bacillariophyceae
Ceratiaceae;Dinophyceae
Ceratium;Dinophyceae
Ceratium fusus var. fusus;Dinophyceae
Ceratium tripos + Ceratium a cornes recourbees;Dinophyceae
Ceratocorys;Dinophyceae
Ceratocorys gourretii;Dinophyceae
Ceratoperidinium;Dinophyceae
Ceratoperidinium falcatum;Dinophyceae
Ceratoperidinium margalefii;Dinophyceae
Ceratoperidinium yeye;Dinophyceae
Chaetoceros;Bacillariophyceae
Chaetoceros (Hyalochaete);Bacillariophyceae
Chaetoceros aequatorialis;Bacillariophyceae
Chaetoceros affinis;Bacillariophyceae
Chaetoceros anastomosans;Bacillariophyceae
Chaetoceros atlanticus;Bacillariophyceae
Chaetoceros borealis;Bacillariophyceae
Chaetoceros brevis;Bacillariophyceae
Chaetoceros castracanei;Bacillariophyceae
Chaetoceros ceratosporum var. ceratosporus;Bacillariophyceae
Chaetoceros ceratosporus;Bacillariophyceae
Chaetoceros coarctatus;Bacillariophyceae
Chaetoceros compressus;Bacillariophyceae
Chaetoceros constrictus;Bacillariophyceae
Chaetoceros convolutus;Bacillariophyceae
Chaetoceros costatus;Bacillariophyceae
Chaetoceros curvisetus;Bacillariophyceae
Chaetoceros curvisetus + debilis + pseudocurvisetus;Bacillariophyceae
Chaetoceros dadayi;Bacillariophyceae
Chaetoceros danicus;Bacillariophyceae
Chaetoceros debilis;Bacillariophyceae
Chaetoceros decipiens;Bacillariophyceae
Chaetoceros decipiens + lorenzianus;Bacillariophyceae
Chaetoceros densus;Bacillariophyceae
Chaetoceros densus + eibenii + borealis + castracanei;Bacillariophyceae
Chaetoceros diadema;Bacillariophyceae
Chaetoceros dichaeta;Bacillariophyceae
Chaetoceros didymus;Bacillariophyceae
Chaetoceros didymus + protuberans;Bacillariophyceae
Chaetoceros diversus;Bacillariophyceae
Chaetoceros eibenii;Bacillariophyceae
Chaetoceros fragilis;Bacillariophyceae
Chaetoceros fragilis + wighamii + diversus;Bacillariophyceae
Chaetoceros furcellatus;Bacillariophyceae
Chaetoceros laciniosus;Bacillariophyceae
Chaetoceros laeve;Bacillariophyceae
Chaetoceros lauderi;Bacillariophyceae
Chaetoceros lorenzianus;Bacillariophyceae
Chaetoceros messanense;Bacillariophyceae
Chaetoceros mitra;Bacillariophyceae
Chaetoceros neapolitanus;Bacillariophyceae
Chaetoceros neglectus;Bacillariophyceae
Chaetoceros neogracile;Bacillariophyceae
Chaetoceros neogracilis;Bacillariophyceae
Chaetoceros pacificus;Bacillariophyceae
Chaetoceros pendulus;Bacillariophyceae
Chaetoceros perpusillus;Bacillariophyceae
