"Code_point_Libelle";"lon";"lat";"cluster"
"22B - Toulon gde rade";5,9546673528;43,0789992381;1
"Anse de Carteau 2";4,88429;43,37678;1
"Antifer ponton pétrolier";0,1316590692;49,6657520189;2
"Arcachon - Bouée 7";-1,2637435339;44,5422774676;3
"At so";1,4745046439;50,2312831163;2
"Auger";-1,20527;45,799805;4
"Barcares";3,057233;42,874567;1
"Basse Michaud";-2,5833333333;47,2291666667;3
"Bif";1,590517;50,215817;2
"Bois de la Chaise large";-2,199438;47,019077;3
"Bouzigues (a)";3,6645374015;43,4343047641;1
"Boyard";-1,2084407079;45,9686434253;4
"Bréhat";-3,01242965;48,82254709;3
"Cabourg";-0,1170026166;49,2984058683;2
"Calvi";8,7255006828;42,5805005138;1
"Concarneau large";-3,949922;47,833406;3
"Diana centre";9,5406780702;42,134664825;1
"Donville";-1,6291867339;48,840709461;3
"Filière w";-1,376951;46,278149;3
"Grand Rhône";4,8026672593;43,3858331785;5
"Géfosse";-1,1073581894;49,3902301225;3
"Kervel large";-4,298194;48,10991;3
"La Palmyre";-1,176;45,65331667;4
"Lanvéoc large";-4,44852;48,309405;3
"Lazaret (a)";5,9064212393;43,0873189621;1
"Le Cornard";-1,130607923;46,0551463;4
"Le Croisic (a)";-2,5141633556;47,2999935692;3
"Le Passage (a)";-4,3838927272;48,3963318846;3
"Loguivy";-3,041866;48,828709;3
"Marseillan (a)";3,5668698951;43,3776359209;1
"Men Du";-3,8400329464;47,7733229083;3
"Men er Roue";-3,093748;47,534765;3
"Nord Saumonards";-1,2778828451;46,00594685;3
"Ouessant - Youc'h korz";-5,115;48,45;3
"Ouest Loscolo";-2,538268;47,457596;3
"Parc Leucate 2";3,0143685963;42,8727865115;1
"Pen al Lann";-3,8944;48,665109;3
"Point 1 Boulogne";1,5486581799;50,7531320816;2
"Point 1 Dunkerque";2,3334994588;51,0686501641;2
"St Cast";-2,24367214;48,64318061;3
"St Pol large";-3,953362;48,700559;3
"Sud Bastia";9,4911673822;42,6411668685;1
"Sète mer";3,7006861111;43,3892333;1
"Teychan bis";-1,158577776;44,6736148046;3
"Villefranche";7,3156061302;43,6840118704;1
"les Hébihens";-2,207224;48,643034;3
