"cluster";"Phylum.Classe";"Nb"
1;"Bacillariophyceae";13
1;"Ciliophora";3
1;"Cryptophyceae";1
1;"Dinophyceae";8
1;"Euglenozoa";2
1;"Haptophyta";1
1;"Khakista";1
1;"Raphidophyceae";1
2;"Autres protistes";1
2;"Bacillariophyceae";33
2;"Chlorophyta";2
2;"Chromista";1
2;"Dinoflagellata incertae sedis";1
2;"Dinophyceae";2
2;"Euglenozoa";4
3;"Bacillariophyceae";15
3;"Chlorophyta";1
3;"Chrysophyceae";1
3;"Ciliophora";1
3;"Cryptophyceae";1
3;"Dictyochophyceae";1
3;"Dinophyceae";24
3;"Haptophyta";1
