"Code_point_Libelle";"ID.interne.passage";"Date";"CHLOROA";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Shannon";"Simpson";"BergerParker";"Pielou";"Rspe";"Bacillariophyceae";"Dinophyceae";"Cryptophyceae";"Haptophyta";"Ciliophora";"DinoBac";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"22B - Toulon gde rade";5260120;2007-03-14;0,55;38,1;14;1,4;NA;NA;NA;NA;NA;NA;2,16529211041708;0,8416;0,32;0,871377647366277;12;1300;200;200;NA;NA;0,153846153846154;11;27;2,45454545454545;0,490909090909091;0,180583047456566;1;0,0733882030178328;4,90909090909091;-0,187248076218395;0,83232315374756;0,623076923076923;4,07407407407407;0,132552069078743;3;1
"22B - Toulon gde rade";5261287;2007-04-11;0,21;38,1;14,5;1;NA;NA;NA;NA;NA;NA;0,950270539233235;0,56;0,6;0,864973520717927;3;400;NA;NA;NA;NA;NA;3;1;0,333333333333333;0,333333333333333;0,142520272870244;0;0;0,666666666666667;NA;0,857479727129756;NA;1;0,529486565551951;2;1
"22B - Toulon gde rade";5261289;2007-04-24;0,55;38;17,1;2,5;NA;NA;NA;NA;NA;NA;1,38831734473939;0,696840483447514;0,407704654895666;0,667639516145217;8;62200;100;NA;NA;NA;0,00160771704180064;8;28;3,5;1;0,307672626545192;7;-0,0535714285714286;7;NA;0,669706312227162;1;1,28571428571429;0,293103979472754;2;1
"22B - Toulon gde rade";5262631;2007-05-21;0,28;37,6;18,7;1,5;NA;NA;NA;NA;NA;NA;0,877125789495141;0,372976809138985;0,784688995215311;0,399197150142256;9;20500;400;NA;NA;NA;0,0195121951219512;9;32;3,55555555555556;0,888888888888889;0,164245628947806;5;-0,02783203125;7,11111111111111;-0,296296296296296;0,742910039959181;0,9;2,03125;0,223231023951455;2;1
"22B - Toulon gde rade";5262383;2007-06-05;0,37;37,9;16,9;2,3;NA;NA;NA;NA;NA;NA;1,22516899093207;0,514878892733564;0,682352941176471;0,532084132160775;10;400;2200;5800;NA;NA;5,5;10;31;3,1;0,688888888888889;0,117943387554579;3;0,0161290322580646;6,2;0,12429378531073;0,859354291481229;0,75;2,45161290322581;0,142172853931548;3;1
"22B - Toulon gde rade";5262852;2007-06-19;0,05;38,1;21,9;1,5;NA;NA;NA;NA;NA;NA;1,76776147228933;0,826446280991736;0,181818181818182;0,986606462892553;6;500;400;NA;NA;NA;0,8;6;7;1,16666666666667;0,466666666666667;0,127921788898207;2;0,204081632653061;2,33333333333333;-0,166666666666664;0,896968651784713;0,3;4,14285714285714;0,241942192400945;2;1
"22B - Toulon gde rade";5263681;2007-07-03;0,21;38,1;20,3;0,9;NA;NA;NA;NA;NA;NA;2,00288304109065;0,837370242214533;0,294117647058824;0,911551355173181;9;500;1000;NA;NA;NA;2;9;15;1,66666666666667;0,416666666666667;0,154407735676752;0;0,0733333333333333;3,33333333333333;-0,138211382113823;0,859694619565195;0,705882352941177;3,4;0,154824767936194;4;1
"22B - Toulon gde rade";5263935;2007-07-17;0,12;38,2;21,5;1,5;NA;NA;NA;NA;NA;NA;2,09814738913507;0,863905325443787;0,230769230769231;0,954908028417711;9;300;1000;NA;NA;NA;3,33333333333333;9;22;2,44444444444444;0,611111111111111;0,143115561997041;1;-0,00103305785123964;4,88888888888889;-0,222222222222222;0,842466469456563;0,849056603773585;2,81818181818182;0,161563817366014;2;1
"22B - Toulon gde rade";5264414;2007-07-31;0,42;38,3;17;1,3;NA;NA;NA;NA;NA;NA;1,45963539218762;0,684499314128944;0,5;0,701936247271699;8;4400;100;900;NA;NA;0,0227272727272727;8;13;1,625;0,464285714285714;0,184191943838638;0;0,106508875739645;3,25;-0,218750000000003;0,764318713033514;0,804878048780488;2,92307692307692;0,200172593575802;3;1
"22B - Toulon gde rade";5266590;2007-08-14;0,07;38,5;21,2;1;NA;NA;NA;NA;NA;NA;1,32692019405069;0,686390532544379;0,384615384615385;0,824461871936313;5;NA;1200;NA;NA;NA;NA;5;7;1,4;0,7;0,0973002632507395;1;-0,010204081632653;2,8;-0,555555555555554;0,842506789632603;0,8;2,57142857142857;0,313404412215659;2;1
