"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"Anse de Carteau 2";2007-03-12;19;102;5,36842105263158;0,596491228070175;0,109357322115276;5;0,0670415224913495;10,7368421052632;-0,0169346978557496;0,832905731372117;0,755376344086022;3,23529411764706;0,0916707735190656;3;1
"Anse de Carteau 2";2007-03-26;14;76;5,42857142857143;0,835164835164835;0,205751114159938;0;0;10,8571428571429;-0,190600522193236;0,735854239584577;0,975460122699387;1,63157894736842;0,17929271071233;2;1
"Anse de Carteau 2";2007-04-10;22;136;6,18181818181818;0,588744588744589;0,133610813236064;5;0,084666955017301;12,3636363636364;0,18714395971921;0,813472317230344;0,796022727272727;3,43382352941176;0,0914453043575638;3;1
"Anse de Carteau 2";2007-04-23;18;112;6,22222222222222;0,73202614379085;0,153817112322117;3;0,0255102040816327;12,4444444444444;0,121534405963094;0,790610623090332;0,884861407249467;2,59821428571429;0,124157050200535;2;1
"Anse de Carteau 2";2007-05-09;19;108;5,68421052631579;0,631578947368421;0,111161559155137;5;0,0202760631001372;11,3684210526316;0,0229885057471255;0,815549780408309;0,752450980392157;3,03703703703704;0,103470571629541;3;1
"Anse de Carteau 2";2007-05-21;20;143;7,15;0,752631578947368;0,139698515718839;3;0,0430827913345396;14,3;-0,12940461725395;0,814739967337524;0,862973760932945;2,43356643356643;0,104983799922884;3;1
"Anse de Carteau 2";2007-06-04;18;107;5,94444444444444;0,699346405228758;0,113908733754078;3;0,0648528255742859;11,8888888888889;0,0242467574822534;0,811194582746435;0,838304552590267;2,65420560747664;0,112066618910086;3;1
"Anse de Carteau 2";2007-06-18;20;148;7,4;0,778947368421053;0,120493967664091;4;0,0306565010956903;14,8;-0,0271950756041786;0,809851057669856;0,879191548001837;2,43243243243243;0,115512318276082;2;1
"Anse de Carteau 2";2007-07-02;19;127;6,68421052631579;0,742690058479532;0,119914827366961;4;0,0166160332320665;13,3684210526316;-0,145910442036625;0,824979006438572;0,854630715123095;2,41732283464567;0,103588577443427;2;1
"Anse de Carteau 2";2007-07-16;19;134;7,05263157894737;0,783625730994152;0,109892655013651;4;0,00297950545778572;14,1052631578947;-0,0467069035542563;0,819228137664412;0,868632707774799;2,29850746268657;0,109081543154322;3;1
"Anse de Carteau 2";2007-07-30;15;54;3,6;0,514285714285714;0,129004473345305;3;0,13460219478738;7,2;0,15087664124538;0,834440855380048;0,683646112600536;3,90740740740741;0,101932017782908;3;1
"Anse de Carteau 2";2007-08-13;10;23;2,3;0,511111111111111;0,142004532419689;2;0,159735349716446;4,6;0,0169189670525363;0,862113144433123;0,638297872340426;4,04347826086957;0,139299476505261;3;1
"Anse de Carteau 2";2007-08-27;16;85;5,3125;0,708333333333333;0,141406830341032;3;0,0231833910034602;10,625;0,211453868711935;0,777653114075203;0,892425905598244;2,84705882352941;0,135371672499946;3;1
"Anse de Carteau 2";2007-09-10;20;106;5,3;0,557894736842105;0,130388941499381;1;0,0605197579209683;10,6;0,0854279145462514;0,827071417233362;0,789873417721519;3,86792452830189;0,0866791022718476;3;1
"Anse de Carteau 2";2007-09-24;18;111;6,16666666666667;0,725490196078431;0,126833347163814;4;0,0449233016800585;12,3333333333333;0,125451263537905;0,801893497057946;0,872169466764061;2,67567567567568;0,115171515916745;3;1
"Anse de Carteau 2";2007-10-08;21;177;8,42857142857143;0,842857142857143;0,129811137689971;4;-0,00849053592518122;16,8571428571429;-0,173160708563594;0,815991461812075;0,915875169606513;2,08474576271186;0,113483375326511;3;1
"Anse de Carteau 2";2007-10-22;23;185;8,04347826086956;0,731225296442688;0,111704988463756;7;0,0420160701241782;16,0869565217391;-0,143747360564124;0,826341187129286;0,826897470039947;2,68108108108108;0,0963652431245979;2;1
"Anse de Carteau 2";2007-11-05;12;41;3,41666666666667;0,621212121212121;0,18058702703417;2;0,110350981558596;6,83333333333333;0,303375810418067;0,772329361512929;0,825278810408922;2,90243902439024;0,150447449826869;2;1
"Anse de Carteau 2";2007-11-19;17;100;5,88235294117647;0,735294117647059;0,133266507901913;3;0,0558;11,7647058823529;-0,0893353737802524;0,794774592421155;0,864061172472387;2,85;0,127668643503607;2;1
"Anse de Carteau 2";2007-12-03;17;78;4,58823529411765;0,573529411764706;0,117463559626773;5;0,187047994740303;9,17647058823529;-0,111336172171712;0,8556783272035;0,710413694721826;3,28205128205128;0,0864966948875398;2;1
"Anse de Carteau 2";2007-12-19;4;2;0,5;0,333333333333333;0,139803904097196;0;0,5;1;NA;0,860196095902804;NA;1;0,386325585188903;2;1
"Anse de Carteau 2";2008-01-02;11;33;3;0,6;0,131306141171532;4;0,174471992653811;6;-0,185570071258906;0,815780147605248;0,720670391061452;3,03030303030303;0,140120045639347;2;1
"Anse de Carteau 2";2008-01-15;3;1;0,333333333333333;0,333333333333333;0,524118083627713;0;0;0,666666666666667;NA;0,475881916372287;NA;1;0,573028828559134;2;1
"Anse de Carteau 2";2008-01-28;11;37;3,36363636363636;0,672727272727273;0,113125603924444;3;0,118334550766983;6,72727272727273;-0,285159096429437;0,867945558198574;0,730434782608696;2,43243243243243;0,129065406979289;2;1
"Anse de Carteau 2";2008-02-11;13;49;3,76923076923077;0,628205128205128;0,172367929323277;4;0,0807996668054978;7,53846153846154;-0,0155146462892204;0,80252432006114;0,773638968481375;2,79591836734694;0,126249902677637;3;1
"Anse de Carteau 2";2008-02-26;11;42;3,81818181818182;0,763636363636364;0,142375170707628;3;-0,018140589569161;7,63636363636364;-0,0268672756582421;0,797323802392541;0,855704697986577;2,28571428571429;0,159666628198803;3;1
"Anse de Carteau 2";2008-03-10;10;33;3,3;0,733333333333333;0,148354954767738;2;-0,0362718089990818;6,6;-0,11784351145038;0,815087748795821;0,846534653465347;2,51515151515152;0,157163884906789;3;1
"Anse de Carteau 2";2008-03-25;15;63;4,2;0,6;0,139925525777083;3;0,154195011337868;8,4;-0,1522633744856;0,83175230583186;0,729885057471264;3,03174603174603;0,104220907763775;2;1
"Anse de Carteau 2";2008-04-07;16;85;5,3125;0,708333333333333;0,147359607675582;4;0,0965397923875432;10,625;0,0789369611642777;0,780793051278086;0,858585858585859;2,58823529411765;0,135105395001645;2;1
"Anse de Carteau 2";2008-04-21;16;83;5,1875;0,691666666666667;0,136893658451613;3;0,0391929162432865;10,375;0,247718782534143;0,81734528269041;0,849122807017544;2,56626506024096;0,110153845889208;2;1
"Anse de Carteau 2";2008-05-05;13;52;4;0,666666666666667;0,153674569447675;3;0,102810650887574;8;0,124559859154933;0,779705995640998;0,829145728643216;2,78846153846154;0,143245394749217;2;1
"Anse de Carteau 2";2008-05-19;19;82;4,31578947368421;0,47953216374269;0,123082351272015;5;0,257584770969661;8,63157894736842;0,25768906381783;0,840609356184834;0,689127105666156;4,53658536585366;0,0789903643326354;3;1
"Anse de Carteau 2";2008-06-02;17;93;5,47058823529412;0,683823529411765;0,120157987684075;2;0,0131229043820095;10,9411764705882;0,00728252194732461;0,802265608809596;0,839303000968054;2,68817204301075;0,11425605817188;3;1
"Anse de Carteau 2";2008-06-16;15;79;5,26666666666667;0,752380952380952;0,15167346232411;3;0,0307643005928537;10,5333333333333;0,172014342189938;0,800473242224611;0,906553398058252;2,37974683544304;0,12850938226307;2;1
"Anse de Carteau 2";2008-06-30;15;101;6,73333333333333;0,961904761904762;0,125626386700097;12;-0,0166650328399177;13,4666666666667;-0,157418576598287;0,804934194762416;0,961995249406176;1,72277227722772;0,140462929786644;2;1
"Anse de Carteau 2";2008-07-15;20;117;5,85;0,61578947368421;0,119345537273438;5;0,0932500547885163;11,7;0,192386982202834;0,829620315489661;0,816223977027997;3,03418803418803;0,0900030887709719;3;1
"Anse de Carteau 2";2008-07-28;17;100;5,88235294117647;0,735294117647059;0,118590918993023;2;0,02255;11,7647058823529;0,282478404006862;0,81683352824633;0,889077053344623;2,53;0,111867285887217;3;1
"Anse de Carteau 2";2008-08-11;13;46;3,53846153846154;0,58974358974359;0,183524785216321;3;0,0923913043478261;7,07692307692308;0,103771619087306;0,786431733408383;0,819018404907976;3,04347826086957;0,134935806027824;2;1
"Anse de Carteau 2";2008-08-25;17;103;6,05882352941176;0,757352941176471;0,147080130819488;2;0,00395890281836175;12,1176470588235;0,0945965982504069;0,791595816230217;0,900720576461169;2,54368932038835;0,124782335628641;2;1
"Anse de Carteau 2";2008-09-08;18;124;6,88888888888889;0,810457516339869;0,112733459447141;6;0,0217221644120708;13,7777777777778;-0,14776907838883;0,807334631056103;0,872135102533173;2,46774193548387;0,118856764108822;2;1
"Anse de Carteau 2";2008-09-22;16;71;4,4375;0,591666666666667;0,175454313696763;3;0,0583217615552469;8,875;0,221705184259835;0,781249064772823;0,8296875;3,19718309859155;0,119881723587774;3;1
"Anse de Carteau 2";2008-10-06;12;29;2,41666666666667;0,439393939393939;0,169741734850535;2;0,31807372175981;4,83333333333333;-0,115384615384614;0,827876426261479;0,669230769230769;4,96551724137931;0,120728675730008;2;1
"Anse de Carteau 2";2008-10-20;9;20;2,22222222222222;0,555555555555556;0,113465694223004;2;0,22;4,44444444444444;0,53488372093023;0,814119677524335;0,846153846153846;4;0,171574676607495;2;1
"Anse de Carteau 2";2008-11-03;5;4;0,8;0,4;0,199113512960319;0;0,375;1,6;1;0,724798377983708;1;1,25;0,323561873006338;2;1
