"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-10-03;"22B - Toulon gde rade";2007-10-09;"22B - Toulon gde rade"
2008-05-28;"22B - Toulon gde rade";2008-06-03;"22B - Toulon gde rade"
2008-06-11;"22B - Toulon gde rade";2008-06-16;"22B - Toulon gde rade"
2009-06-10;"22B - Toulon gde rade";2009-06-09;"22B - Toulon gde rade"
2010-09-29;"22B - Toulon gde rade";2010-09-27;"22B - Toulon gde rade"
2011-10-26;"22B - Toulon gde rade";2011-10-25;"22B - Toulon gde rade"
2011-11-09;"22B - Toulon gde rade";2011-11-07;"22B - Toulon gde rade"
2011-11-23;"22B - Toulon gde rade";2011-11-22;"22B - Toulon gde rade"
2012-04-25;"22B - Toulon gde rade";2012-04-23;"22B - Toulon gde rade"
2014-11-19;"22B - Toulon gde rade";2014-11-17;"22B - Toulon gde rade"
2016-11-30;"22B - Toulon gde rade";2016-11-28;"22B - Toulon gde rade"
2018-10-17;"22B - Toulon gde rade";2018-10-16;"22B - Toulon gde rade"
2018-11-14;"22B - Toulon gde rade";2018-11-13;"22B - Toulon gde rade"
2019-06-26;"22B - Toulon gde rade";2019-06-24;"22B - Toulon gde rade"
2019-07-10;"22B - Toulon gde rade";2019-07-09;"22B - Toulon gde rade"
2019-10-30;"22B - Toulon gde rade";2019-10-28;"22B - Toulon gde rade"
2022-04-13;"22B - Toulon gde rade";2022-04-12;"22B - Toulon gde rade"
