"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-05-06;"Antifer ponton pétrolier";2007-05-14;"Antifer ponton pétrolier"
2007-05-16;"Antifer ponton pétrolier";2007-05-14;"Antifer ponton pétrolier"
2007-05-26;"Antifer ponton pétrolier";2007-05-14;"Antifer ponton pétrolier"
2008-06-19;"Antifer ponton pétrolier";2008-06-18;"Antifer ponton pétrolier"
2008-06-29;"Antifer ponton pétrolier";2008-06-18;"Antifer ponton pétrolier"
2008-07-09;"Antifer ponton pétrolier";2008-06-18;"Antifer ponton pétrolier"
2008-07-19;"Antifer ponton pétrolier";2008-07-30;"Antifer ponton pétrolier"
2008-07-29;"Antifer ponton pétrolier";2008-07-30;"Antifer ponton pétrolier"
2009-05-15;"Antifer ponton pétrolier";2009-05-27;"Antifer ponton pétrolier"
2009-05-25;"Antifer ponton pétrolier";2009-05-27;"Antifer ponton pétrolier"
2009-06-04;"Antifer ponton pétrolier";2009-06-08;"Antifer ponton pétrolier"
2009-06-14;"Antifer ponton pétrolier";2009-06-08;"Antifer ponton pétrolier"
2009-07-04;"Antifer ponton pétrolier";2009-07-06;"Antifer ponton pétrolier"
2009-07-14;"Antifer ponton pétrolier";2009-07-06;"Antifer ponton pétrolier"
2009-07-24;"Antifer ponton pétrolier";2009-08-04;"Antifer ponton pétrolier"
2009-08-03;"Antifer ponton pétrolier";2009-08-04;"Antifer ponton pétrolier"
2009-08-13;"Antifer ponton pétrolier";2009-08-04;"Antifer ponton pétrolier"
2010-08-08;"Antifer ponton pétrolier";2010-08-09;"Antifer ponton pétrolier"
2010-08-18;"Antifer ponton pétrolier";2010-08-09;"Antifer ponton pétrolier"
2010-10-07;"Antifer ponton pétrolier";2010-10-05;"Antifer ponton pétrolier"
2012-08-07;"Antifer ponton pétrolier";2012-08-01;"Antifer ponton pétrolier"
2013-07-03;"Antifer ponton pétrolier";2013-07-08;"Antifer ponton pétrolier"
2013-08-02;"Antifer ponton pétrolier";2013-08-05;"Antifer ponton pétrolier"
2013-08-12;"Antifer ponton pétrolier";2013-08-05;"Antifer ponton pétrolier"
2015-05-04;"Antifer ponton pétrolier";2015-05-04;"Antifer ponton pétrolier"
2015-09-11;"Antifer ponton pétrolier";2015-09-15;"Antifer ponton pétrolier"
2016-05-18;"Antifer ponton pétrolier";2016-05-04;"Antifer ponton pétrolier"
2016-06-07;"Antifer ponton pétrolier";2016-06-06;"Antifer ponton pétrolier"
2016-06-17;"Antifer ponton pétrolier";2016-06-20;"Antifer ponton pétrolier"
2016-07-27;"Antifer ponton pétrolier";2016-08-01;"Antifer ponton pétrolier"
2016-08-06;"Antifer ponton pétrolier";2016-08-01;"Antifer ponton pétrolier"
2016-09-05;"Antifer ponton pétrolier";2016-09-05;"Antifer ponton pétrolier"
2018-06-17;"Antifer ponton pétrolier";2018-06-15;"Antifer ponton pétrolier"
2018-08-06;"Antifer ponton pétrolier";2018-08-08;"Antifer ponton pétrolier"
2018-08-16;"Antifer ponton pétrolier";2018-08-22;"Antifer ponton pétrolier"
2018-08-26;"Antifer ponton pétrolier";2018-08-22;"Antifer ponton pétrolier"
2018-09-05;"Antifer ponton pétrolier";2018-09-10;"Antifer ponton pétrolier"
2019-08-01;"Antifer ponton pétrolier";2019-08-01;"Antifer ponton pétrolier"
2020-05-27;"Antifer ponton pétrolier";2020-05-27;"Antifer ponton pétrolier"
2020-06-06;"Antifer ponton pétrolier";2020-06-10;"Antifer ponton pétrolier"
2021-05-12;"Antifer ponton pétrolier";2021-04-26;"Antifer ponton pétrolier"
2021-05-22;"Antifer ponton pétrolier";2021-05-28;"Antifer ponton pétrolier"
2021-06-01;"Antifer ponton pétrolier";2021-05-28;"Antifer ponton pétrolier"
2021-06-11;"Antifer ponton pétrolier";2021-06-09;"Antifer ponton pétrolier"
2021-07-11;"Antifer ponton pétrolier";2021-07-06;"Antifer ponton pétrolier"
2021-07-21;"Antifer ponton pétrolier";2021-07-26;"Antifer ponton pétrolier"
2022-05-27;"Antifer ponton pétrolier";2022-06-01;"Antifer ponton pétrolier"
2022-06-06;"Antifer ponton pétrolier";2022-06-01;"Antifer ponton pétrolier"
2022-06-16;"Antifer ponton pétrolier";2022-06-15;"Antifer ponton pétrolier"
2022-08-05;"Antifer ponton pétrolier";2022-08-03;"Antifer ponton pétrolier"
