"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-03-27;"At so";2007-04-03;"At so"
2007-04-06;"At so";2007-04-03;"At so"
2008-04-30;"At so";2008-04-23;"At so"
2008-05-10;"At so";2008-05-07;"At so"
2008-05-20;"At so";2008-05-22;"At so"
2008-05-30;"At so";2008-06-04;"At so"
2008-06-09;"At so";2008-06-04;"At so"
2008-07-09;"At so";2008-07-23;"At so"
2008-07-19;"At so";2008-07-23;"At so"
2008-07-29;"At so";2008-07-23;"At so"
2009-05-15;"At so";2009-05-13;"At so"
2011-03-06;"At so";2011-03-08;"At so"
2011-03-16;"At so";2011-03-08;"At so"
2012-03-20;"At so";2012-03-23;"At so"
2013-02-23;"At so";2013-02-12;"At so"
2013-03-05;"At so";2013-03-14;"At so"
2013-03-15;"At so";2013-03-14;"At so"
2013-03-25;"At so";2013-03-14;"At so"
2014-04-29;"At so";2014-04-28;"At so"
2015-03-15;"At so";2015-03-10;"At so"
2015-03-25;"At so";2015-03-20;"At so"
2016-03-29;"At so";2016-03-22;"At so"
2018-03-09;"At so";2018-03-06;"At so"
2018-03-19;"At so";2018-03-30;"At so"
2020-02-27;"At so";2020-02-07;"At so"
2020-03-08;"At so";2020-02-07;"At so"
2021-02-21;"At so";2021-02-25;"At so"
2022-02-16;"At so";2022-03-02;"At so"
2022-02-26;"At so";2022-03-02;"At so"
