"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-03-30;"Auger";2007-03-26;"Auger"
2007-04-09;"Auger";2007-04-10;"Auger"
2007-04-19;"Auger";2007-04-23;"Auger"
2007-04-29;"Auger";2007-04-23;"Auger"
2007-07-28;"Auger";2007-07-25;"Auger"
2007-08-07;"Auger";2007-08-06;"Auger"
2007-09-06;"Auger";2007-09-04;"Auger"
2008-06-02;"Auger";2008-06-03;"Auger"
2009-03-19;"Auger";2009-03-23;"Auger"
2011-10-15;"Auger";2011-10-18;"Auger"
2011-10-25;"Auger";2011-10-18;"Auger"
2012-03-03;"Auger";2012-02-29;"Auger"
2012-03-13;"Auger";2012-03-14;"Auger"
2012-04-02;"Auger";2012-04-02;"Auger"
2012-04-12;"Auger";2012-04-16;"Auger"
2012-04-22;"Auger";2012-04-16;"Auger"
2013-07-26;"Auger";2013-07-30;"Auger"
2014-05-22;"Auger";2014-05-20;"Auger"
2014-06-11;"Auger";2014-06-10;"Auger"
2014-07-21;"Auger";2014-07-22;"Auger"
2015-04-27;"Auger";2015-04-27;"Auger"
2015-05-07;"Auger";2015-05-11;"Auger"
2015-05-17;"Auger";2015-05-11;"Auger"
2015-05-27;"Auger";2015-05-26;"Auger"
2016-05-11;"Auger";2016-05-17;"Auger"
2016-05-21;"Auger";2016-05-17;"Auger"
