"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2008-06-01;"Barcares";2008-06-02;"Barcares"
2011-11-23;"Barcares";2011-11-28;"Barcares"
2012-05-01;"Barcares";2012-05-07;"Barcares"
2012-05-11;"Barcares";2012-05-07;"Barcares"
2013-02-25;"Barcares";2013-02-20;"Barcares"
2013-10-03;"Barcares";2013-09-30;"Barcares"
2014-09-28;"Barcares";2014-10-01;"Barcares"
2014-10-28;"Barcares";2014-10-29;"Barcares"
2014-11-27;"Barcares";2014-11-24;"Barcares"
2014-12-07;"Barcares";2014-11-24;"Barcares"
2015-01-26;"Barcares";2015-02-02;"Barcares"
2015-02-05;"Barcares";2015-02-02;"Barcares"
2015-02-15;"Barcares";2015-02-02;"Barcares"
2020-03-20;"Barcares";2020-03-23;"Barcares"
2020-03-30;"Barcares";2020-03-23;"Barcares"
2020-04-09;"Barcares";2020-04-06;"Barcares"
2022-04-09;"Barcares";2022-04-12;"Barcares"
2022-04-19;"Barcares";2022-04-12;"Barcares"
2022-04-29;"Barcares";2022-05-10;"Barcares"
2022-07-08;"Barcares";2022-07-04;"Barcares"
