"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-08;"Bois de la Chaise large";2007-04-10;"Bois de la Chaise large"
2007-04-18;"Bois de la Chaise large";2007-04-23;"Bois de la Chaise large"
2007-05-08;"Bois de la Chaise large";2007-05-07;"Bois de la Chaise large"
2007-05-18;"Bois de la Chaise large";2007-05-21;"Bois de la Chaise large"
2007-05-28;"Bois de la Chaise large";2007-05-21;"Bois de la Chaise large"
2007-07-07;"Bois de la Chaise large";2007-06-18;"Bois de la Chaise large"
2007-07-17;"Bois de la Chaise large";2007-07-26;"Bois de la Chaise large"
2007-07-27;"Bois de la Chaise large";2007-07-26;"Bois de la Chaise large"
2009-03-18;"Bois de la Chaise large";2009-03-24;"Bois de la Chaise large"
2009-03-28;"Bois de la Chaise large";2009-03-24;"Bois de la Chaise large"
2009-04-17;"Bois de la Chaise large";2009-04-27;"Bois de la Chaise large"
2009-04-27;"Bois de la Chaise large";2009-04-27;"Bois de la Chaise large"
2009-05-07;"Bois de la Chaise large";2009-05-13;"Bois de la Chaise large"
2009-05-27;"Bois de la Chaise large";2009-05-27;"Bois de la Chaise large"
2010-03-13;"Bois de la Chaise large";2010-03-08;"Bois de la Chaise large"
2010-03-23;"Bois de la Chaise large";2010-03-24;"Bois de la Chaise large"
2010-04-02;"Bois de la Chaise large";2010-04-06;"Bois de la Chaise large"
2010-05-12;"Bois de la Chaise large";2010-05-05;"Bois de la Chaise large"
2010-05-22;"Bois de la Chaise large";2010-05-19;"Bois de la Chaise large"
2011-06-26;"Bois de la Chaise large";2011-06-22;"Bois de la Chaise large"
2011-07-06;"Bois de la Chaise large";2011-07-06;"Bois de la Chaise large"
2012-05-21;"Bois de la Chaise large";2012-05-14;"Bois de la Chaise large"
2012-05-31;"Bois de la Chaise large";2012-05-29;"Bois de la Chaise large"
2012-06-10;"Bois de la Chaise large";2012-06-11;"Bois de la Chaise large"
2013-06-15;"Bois de la Chaise large";2013-06-17;"Bois de la Chaise large"
2013-06-25;"Bois de la Chaise large";2013-07-01;"Bois de la Chaise large"
2013-07-05;"Bois de la Chaise large";2013-07-01;"Bois de la Chaise large"
2014-07-20;"Bois de la Chaise large";2014-07-21;"Bois de la Chaise large"
2014-07-30;"Bois de la Chaise large";2014-08-04;"Bois de la Chaise large"
2015-05-06;"Bois de la Chaise large";2015-05-11;"Bois de la Chaise large"
2015-05-16;"Bois de la Chaise large";2015-05-11;"Bois de la Chaise large"
2018-06-19;"Bois de la Chaise large";2018-06-18;"Bois de la Chaise large"
2019-07-04;"Bois de la Chaise large";2019-07-10;"Bois de la Chaise large"
2019-07-14;"Bois de la Chaise large";2019-07-10;"Bois de la Chaise large"
2021-05-04;"Bois de la Chaise large";2021-05-03;"Bois de la Chaise large"
2021-08-02;"Bois de la Chaise large";2021-08-02;"Bois de la Chaise large"
2022-05-09;"Bois de la Chaise large";2022-05-09;"Bois de la Chaise large"
