"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2008-07-15;"Bouzigues (a)";2008-07-21;"Bouzigues (a)"
2011-09-08;"Bouzigues (a)";2011-09-12;"Bouzigues (a)"
2011-09-18;"Bouzigues (a)";2011-09-12;"Bouzigues (a)"
2011-12-07;"Bouzigues (a)";2011-12-05;"Bouzigues (a)"
2018-10-21;"Bouzigues (a)";2018-10-08;"Bouzigues (a)"
2018-10-31;"Bouzigues (a)";2018-11-06;"Bouzigues (a)"
2018-11-10;"Bouzigues (a)";2018-11-06;"Bouzigues (a)"
2018-11-20;"Bouzigues (a)";2018-11-19;"Bouzigues (a)"
2018-11-30;"Bouzigues (a)";2018-12-03;"Bouzigues (a)"
2018-12-10;"Bouzigues (a)";2018-12-03;"Bouzigues (a)"
2018-12-20;"Bouzigues (a)";2018-12-17;"Bouzigues (a)"
2018-12-30;"Bouzigues (a)";2019-01-03;"Bouzigues (a)"
2019-01-09;"Bouzigues (a)";2019-01-03;"Bouzigues (a)"
2019-01-19;"Bouzigues (a)";2019-01-15;"Bouzigues (a)"
2019-01-29;"Bouzigues (a)";2019-01-28;"Bouzigues (a)"
2019-02-08;"Bouzigues (a)";2019-02-11;"Bouzigues (a)"
2019-03-20;"Bouzigues (a)";2019-03-27;"Bouzigues (a)"
2019-03-30;"Bouzigues (a)";2019-03-27;"Bouzigues (a)"
2019-07-18;"Bouzigues (a)";2019-07-15;"Bouzigues (a)"
2019-11-05;"Bouzigues (a)";2019-11-04;"Bouzigues (a)"
2022-08-21;"Bouzigues (a)";2022-08-23;"Bouzigues (a)"
