"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-21;"Cabourg";2007-04-18;"Cabourg"
2007-05-01;"Cabourg";2007-05-02;"Cabourg"
2007-05-11;"Cabourg";2007-05-02;"Cabourg"
2007-05-21;"Cabourg";2007-05-21;"Cabourg"
2007-07-30;"Cabourg";2007-08-01;"Cabourg"
2007-08-09;"Cabourg";2007-08-13;"Cabourg"
2007-08-19;"Cabourg";2007-08-13;"Cabourg"
2007-09-08;"Cabourg";2007-09-13;"Cabourg"
2007-09-18;"Cabourg";2007-09-13;"Cabourg"
2007-09-28;"Cabourg";2007-10-01;"Cabourg"
2008-05-05;"Cabourg";2008-05-06;"Cabourg"
2008-05-15;"Cabourg";2008-05-21;"Cabourg"
2008-05-25;"Cabourg";2008-05-21;"Cabourg"
2008-06-04;"Cabourg";2008-06-04;"Cabourg"
2009-10-07;"Cabourg";2009-10-07;"Cabourg"
2010-03-16;"Cabourg";2010-03-17;"Cabourg"
2013-09-06;"Cabourg";2013-09-03;"Cabourg"
2014-09-21;"Cabourg";2014-09-22;"Cabourg"
2014-10-01;"Cabourg";2014-09-22;"Cabourg"
2015-05-19;"Cabourg";2015-05-21;"Cabourg"
2016-06-02;"Cabourg";2016-06-08;"Cabourg"
2016-06-12;"Cabourg";2016-06-08;"Cabourg"
2020-05-12;"Cabourg";2020-06-08;"Cabourg"
2020-05-22;"Cabourg";2020-06-08;"Cabourg"
2020-06-01;"Cabourg";2020-06-08;"Cabourg"
2020-06-11;"Cabourg";2020-06-08;"Cabourg"
2020-06-21;"Cabourg";2020-06-22;"Cabourg"
2021-05-07;"Cabourg";2021-05-07;"Cabourg"
2021-05-17;"Cabourg";2021-05-07;"Cabourg"
2021-05-27;"Cabourg";2021-05-27;"Cabourg"
2021-06-06;"Cabourg";2021-06-08;"Cabourg"
2022-05-02;"Cabourg";2022-05-02;"Cabourg"
