"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-03-24;"Calvi";2007-03-20;"Calvi"
2007-04-03;"Calvi";2007-04-10;"Calvi"
2007-04-13;"Calvi";2007-04-10;"Calvi"
2007-06-02;"Calvi";2007-06-01;"Calvi"
2008-03-18;"Calvi";2008-03-18;"Calvi"
2008-04-07;"Calvi";2008-04-02;"Calvi"
2008-04-17;"Calvi";2008-04-15;"Calvi"
2008-04-27;"Calvi";2008-04-29;"Calvi"
2009-03-13;"Calvi";2009-03-10;"Calvi"
2009-04-02;"Calvi";2009-03-31;"Calvi"
2009-05-12;"Calvi";2009-05-12;"Calvi"
2011-02-01;"Calvi";2011-02-04;"Calvi"
2011-02-11;"Calvi";2011-02-08;"Calvi"
2011-03-03;"Calvi";2011-03-09;"Calvi"
2011-03-13;"Calvi";2011-03-16;"Calvi"
2012-02-16;"Calvi";2012-02-14;"Calvi"
2012-02-26;"Calvi";2012-02-27;"Calvi"
2012-03-17;"Calvi";2012-03-19;"Calvi"
2012-03-27;"Calvi";2012-04-03;"Calvi"
2013-04-01;"Calvi";2013-04-01;"Calvi"
2016-03-26;"Calvi";2016-03-29;"Calvi"
2017-01-30;"Calvi";2017-02-14;"Calvi"
2017-03-21;"Calvi";2017-03-13;"Calvi"
2017-03-31;"Calvi";2017-04-04;"Calvi"
2017-04-10;"Calvi";2017-04-04;"Calvi"
2017-04-20;"Calvi";2017-04-20;"Calvi"
2017-04-30;"Calvi";2017-05-03;"Calvi"
2017-05-10;"Calvi";2017-05-16;"Calvi"
2018-03-16;"Calvi";2018-03-19;"Calvi"
2019-02-19;"Calvi";2019-02-18;"Calvi"
2019-03-01;"Calvi";2019-03-06;"Calvi"
2020-03-05;"Calvi";2020-03-04;"Calvi"
2021-01-09;"Calvi";2021-01-05;"Calvi"
2021-03-10;"Calvi";2021-03-15;"Calvi"
2021-03-20;"Calvi";2021-03-15;"Calvi"
2022-01-04;"Calvi";2022-01-03;"Calvi"
2022-01-24;"Calvi";2022-01-18;"Calvi"
2022-03-15;"Calvi";2022-03-15;"Calvi"
