"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-10-27;"Diana centre";2007-10-29;"Diana centre"
2007-12-16;"Diana centre";2007-12-10;"Diana centre"
2007-12-26;"Diana centre";2007-12-26;"Diana centre"
2008-01-05;"Diana centre";2008-01-07;"Diana centre"
2009-07-08;"Diana centre";2009-07-15;"Diana centre"
2009-07-18;"Diana centre";2009-07-15;"Diana centre"
2010-07-13;"Diana centre";2010-07-12;"Diana centre"
2010-07-23;"Diana centre";2010-07-26;"Diana centre"
2010-08-02;"Diana centre";2010-07-26;"Diana centre"
2010-09-21;"Diana centre";2010-09-20;"Diana centre"
2011-03-20;"Diana centre";2011-03-21;"Diana centre"
2016-11-08;"Diana centre";2016-11-07;"Diana centre"
2017-01-17;"Diana centre";2017-01-16;"Diana centre"
2019-11-23;"Diana centre";2019-11-25;"Diana centre"
2019-12-03;"Diana centre";2019-12-09;"Diana centre"
2019-12-13;"Diana centre";2019-12-09;"Diana centre"
2019-12-23;"Diana centre";2019-12-23;"Diana centre"
2020-01-02;"Diana centre";2020-01-06;"Diana centre"
2020-03-12;"Diana centre";2020-03-03;"Diana centre"
2020-08-29;"Diana centre";2020-08-31;"Diana centre"
2020-09-08;"Diana centre";2020-09-14;"Diana centre"
2021-07-25;"Diana centre";2021-07-19;"Diana centre"
2021-08-04;"Diana centre";2021-08-02;"Diana centre"
2021-09-03;"Diana centre";2021-08-30;"Diana centre"
2021-09-23;"Diana centre";2021-09-27;"Diana centre"
2021-10-23;"Diana centre";2021-10-25;"Diana centre"
2021-11-02;"Diana centre";2021-11-08;"Diana centre"
2021-11-12;"Diana centre";2021-11-08;"Diana centre"
