"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-05-03;"Géfosse";2007-04-19;"Géfosse"
2007-05-13;"Géfosse";2007-05-21;"Géfosse"
2007-05-23;"Géfosse";2007-05-21;"Géfosse"
2008-03-08;"Géfosse";2008-03-14;"Géfosse"
2008-03-18;"Géfosse";2008-03-14;"Géfosse"
2008-03-28;"Géfosse";2008-04-10;"Géfosse"
2008-04-07;"Géfosse";2008-04-10;"Géfosse"
2008-04-17;"Géfosse";2008-04-23;"Géfosse"
2008-04-27;"Géfosse";2008-04-23;"Géfosse"
2009-05-12;"Géfosse";2009-05-13;"Géfosse"
2009-06-21;"Géfosse";2009-06-23;"Géfosse"
2014-07-05;"Géfosse";2014-07-03;"Géfosse"
2014-07-15;"Géfosse";2014-07-03;"Géfosse"
2014-07-25;"Géfosse";2014-08-11;"Géfosse"
2014-08-04;"Géfosse";2014-08-11;"Géfosse"
2014-08-14;"Géfosse";2014-08-11;"Géfosse"
2014-10-03;"Géfosse";2014-10-02;"Géfosse"
2015-05-11;"Géfosse";2015-05-11;"Géfosse"
2016-04-25;"Géfosse";2016-04-25;"Géfosse"
2016-05-25;"Géfosse";2016-05-24;"Géfosse"
2016-06-04;"Géfosse";2016-06-06;"Géfosse"
2016-06-14;"Géfosse";2016-06-06;"Géfosse"
2016-06-24;"Géfosse";2016-06-23;"Géfosse"
2018-04-05;"Géfosse";2018-04-05;"Géfosse"
2018-05-05;"Géfosse";2018-05-04;"Géfosse"
2020-06-03;"Géfosse";2020-06-09;"Géfosse"
2020-06-13;"Géfosse";2020-06-09;"Géfosse"
2020-06-23;"Géfosse";2020-06-22;"Géfosse"
2020-09-21;"Géfosse";2020-09-22;"Géfosse"
