"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-08-07;"Le Cornard";2007-08-06;"Le Cornard"
2008-06-02;"Le Cornard";2008-06-03;"Le Cornard"
2008-06-12;"Le Cornard";2008-06-17;"Le Cornard"
2008-06-22;"Le Cornard";2008-06-17;"Le Cornard"
2008-07-12;"Le Cornard";2008-07-15;"Le Cornard"
2009-03-19;"Le Cornard";2009-03-23;"Le Cornard"
2009-07-07;"Le Cornard";2009-07-06;"Le Cornard"
2010-03-14;"Le Cornard";2010-03-17;"Le Cornard"
2010-05-03;"Le Cornard";2010-05-06;"Le Cornard"
2011-08-06;"Le Cornard";2011-08-09;"Le Cornard"
2011-08-16;"Le Cornard";2011-08-22;"Le Cornard"
2011-08-26;"Le Cornard";2011-08-22;"Le Cornard"
2012-03-13;"Le Cornard";2012-03-14;"Le Cornard"
2012-03-23;"Le Cornard";2012-03-19;"Le Cornard"
2012-04-12;"Le Cornard";2012-04-16;"Le Cornard"
2012-04-22;"Le Cornard";2012-04-16;"Le Cornard"
2012-06-11;"Le Cornard";2012-06-11;"Le Cornard"
2013-03-18;"Le Cornard";2013-03-20;"Le Cornard"
2014-03-23;"Le Cornard";2014-03-24;"Le Cornard"
2014-04-02;"Le Cornard";2014-04-07;"Le Cornard"
2014-06-11;"Le Cornard";2014-06-10;"Le Cornard"
2016-08-09;"Le Cornard";2016-08-09;"Le Cornard"
