"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-21;"Loguivy";2007-04-23;"Loguivy"
2008-05-05;"Loguivy";2008-05-07;"Loguivy"
2008-05-15;"Loguivy";2008-05-21;"Loguivy"
2008-05-25;"Loguivy";2008-05-21;"Loguivy"
2008-06-04;"Loguivy";2008-06-09;"Loguivy"
2008-06-14;"Loguivy";2008-06-09;"Loguivy"
2008-07-24;"Loguivy";2008-07-24;"Loguivy"
2008-09-22;"Loguivy";2008-09-23;"Loguivy"
2012-03-15;"Loguivy";2012-03-12;"Loguivy"
2013-04-19;"Loguivy";2013-04-16;"Loguivy"
2014-09-01;"Loguivy";2014-08-18;"Loguivy"
2014-09-11;"Loguivy";2014-09-15;"Loguivy"
2016-04-13;"Loguivy";2016-04-11;"Loguivy"
2018-04-23;"Loguivy";2018-04-23;"Loguivy"
2018-05-03;"Loguivy";2018-05-07;"Loguivy"
2019-03-09;"Loguivy";2019-03-11;"Loguivy"
2019-03-19;"Loguivy";2019-03-26;"Loguivy"
2021-04-07;"Loguivy";2021-04-06;"Loguivy"
2021-05-17;"Loguivy";2021-05-18;"Loguivy"
2022-04-22;"Loguivy";2022-04-25;"Loguivy"
2022-05-02;"Loguivy";2022-04-25;"Loguivy"
2022-05-12;"Loguivy";2022-05-09;"Loguivy"
