"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-09-06;"Men er Roue";2007-09-03;"Men er Roue"
2007-11-25;"Men er Roue";2007-11-26;"Men er Roue"
2008-03-24;"Men er Roue";2008-03-17;"Men er Roue"
2008-04-03;"Men er Roue";2008-04-01;"Men er Roue"
2008-05-13;"Men er Roue";2008-05-12;"Men er Roue"
2010-05-13;"Men er Roue";2010-05-17;"Men er Roue"
2010-05-23;"Men er Roue";2010-05-17;"Men er Roue"
2010-10-20;"Men er Roue";2010-10-18;"Men er Roue"
2012-02-22;"Men er Roue";2012-02-20;"Men er Roue"
2012-05-12;"Men er Roue";2012-05-14;"Men er Roue"
2012-05-22;"Men er Roue";2012-05-14;"Men er Roue"
2012-06-01;"Men er Roue";2012-06-04;"Men er Roue"
2013-03-18;"Men er Roue";2013-03-18;"Men er Roue"
2013-09-24;"Men er Roue";2013-10-01;"Men er Roue"
2013-10-04;"Men er Roue";2013-10-01;"Men er Roue"
2014-03-23;"Men er Roue";2014-03-25;"Men er Roue"
2014-05-22;"Men er Roue";2014-05-19;"Men er Roue"
2015-03-08;"Men er Roue";2015-03-16;"Men er Roue"
2015-03-18;"Men er Roue";2015-03-16;"Men er Roue"
2017-05-16;"Men er Roue";2017-05-15;"Men er Roue"
2018-07-30;"Men er Roue";2018-07-30;"Men er Roue"
2022-03-11;"Men er Roue";2022-03-15;"Men er Roue"
2022-03-21;"Men er Roue";2022-03-15;"Men er Roue"
