"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-02;"Ouest Loscolo";2007-04-02;"Ouest Loscolo"
2007-06-21;"Ouest Loscolo";2007-06-26;"Ouest Loscolo"
2007-07-01;"Ouest Loscolo";2007-06-26;"Ouest Loscolo"
2007-07-11;"Ouest Loscolo";2007-07-11;"Ouest Loscolo"
2007-07-21;"Ouest Loscolo";2007-07-24;"Ouest Loscolo"
2007-09-09;"Ouest Loscolo";2007-09-03;"Ouest Loscolo"
2007-09-19;"Ouest Loscolo";2007-09-17;"Ouest Loscolo"
2008-04-26;"Ouest Loscolo";2008-04-28;"Ouest Loscolo"
2008-05-06;"Ouest Loscolo";2008-05-12;"Ouest Loscolo"
2008-05-16;"Ouest Loscolo";2008-05-12;"Ouest Loscolo"
2008-06-25;"Ouest Loscolo";2008-06-23;"Ouest Loscolo"
2008-07-05;"Ouest Loscolo";2008-06-23;"Ouest Loscolo"
2008-10-13;"Ouest Loscolo";2008-10-06;"Ouest Loscolo"
2008-10-23;"Ouest Loscolo";2008-10-20;"Ouest Loscolo"
2009-03-02;"Ouest Loscolo";2009-03-11;"Ouest Loscolo"
2009-03-12;"Ouest Loscolo";2009-03-11;"Ouest Loscolo"
2010-06-15;"Ouest Loscolo";2010-06-21;"Ouest Loscolo"
2010-06-25;"Ouest Loscolo";2010-06-21;"Ouest Loscolo"
2011-05-31;"Ouest Loscolo";2011-06-06;"Ouest Loscolo"
2011-06-10;"Ouest Loscolo";2011-06-06;"Ouest Loscolo"
2011-06-20;"Ouest Loscolo";2011-06-20;"Ouest Loscolo"
2011-06-30;"Ouest Loscolo";2011-07-04;"Ouest Loscolo"
2012-03-06;"Ouest Loscolo";2012-03-06;"Ouest Loscolo"
2012-05-15;"Ouest Loscolo";2012-05-14;"Ouest Loscolo"
2012-06-24;"Ouest Loscolo";2012-06-25;"Ouest Loscolo"
2014-05-25;"Ouest Loscolo";2014-05-19;"Ouest Loscolo"
2014-06-14;"Ouest Loscolo";2014-06-16;"Ouest Loscolo"
2015-03-11;"Ouest Loscolo";2015-03-16;"Ouest Loscolo"
2015-03-21;"Ouest Loscolo";2015-03-16;"Ouest Loscolo"
2016-05-04;"Ouest Loscolo";2016-05-02;"Ouest Loscolo"
2016-05-14;"Ouest Loscolo";2016-05-17;"Ouest Loscolo"
2016-06-23;"Ouest Loscolo";2016-06-27;"Ouest Loscolo"
2016-07-03;"Ouest Loscolo";2016-06-27;"Ouest Loscolo"
2018-05-04;"Ouest Loscolo";2018-05-07;"Ouest Loscolo"
2018-05-14;"Ouest Loscolo";2018-05-07;"Ouest Loscolo"
2019-04-19;"Ouest Loscolo";2019-04-24;"Ouest Loscolo"
2020-04-13;"Ouest Loscolo";2020-02-19;"Ouest Loscolo"
2020-04-23;"Ouest Loscolo";2020-06-15;"Ouest Loscolo"
2020-05-03;"Ouest Loscolo";2020-06-15;"Ouest Loscolo"
2021-04-08;"Ouest Loscolo";2021-04-06;"Ouest Loscolo"
2021-04-18;"Ouest Loscolo";2021-04-19;"Ouest Loscolo"
2021-08-16;"Ouest Loscolo";2021-08-17;"Ouest Loscolo"
2022-04-13;"Ouest Loscolo";2022-04-13;"Ouest Loscolo"
2022-04-23;"Ouest Loscolo";2022-04-25;"Ouest Loscolo"
2022-05-03;"Ouest Loscolo";2022-05-09;"Ouest Loscolo"
