"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-04;"Parc Leucate 2";2007-04-10;"Parc Leucate 2"
2007-04-14;"Parc Leucate 2";2007-04-10;"Parc Leucate 2"
2007-06-03;"Parc Leucate 2";2007-06-04;"Parc Leucate 2"
2008-04-18;"Parc Leucate 2";2008-04-16;"Parc Leucate 2"
2011-03-24;"Parc Leucate 2";2011-03-21;"Parc Leucate 2"
2011-04-03;"Parc Leucate 2";2011-03-29;"Parc Leucate 2"
2011-05-13;"Parc Leucate 2";2011-05-09;"Parc Leucate 2"
2011-05-23;"Parc Leucate 2";2011-05-23;"Parc Leucate 2"
2011-11-29;"Parc Leucate 2";2011-11-22;"Parc Leucate 2"
2011-12-09;"Parc Leucate 2";2011-11-22;"Parc Leucate 2"
2011-12-19;"Parc Leucate 2";2011-12-26;"Parc Leucate 2"
2011-12-29;"Parc Leucate 2";2011-12-26;"Parc Leucate 2"
2012-01-08;"Parc Leucate 2";2012-01-17;"Parc Leucate 2"
2012-01-18;"Parc Leucate 2";2012-01-17;"Parc Leucate 2"
2012-01-28;"Parc Leucate 2";2012-01-31;"Parc Leucate 2"
2012-02-07;"Parc Leucate 2";2012-01-31;"Parc Leucate 2"
2012-02-17;"Parc Leucate 2";2012-02-28;"Parc Leucate 2"
2012-02-27;"Parc Leucate 2";2012-02-28;"Parc Leucate 2"
2012-03-08;"Parc Leucate 2";2012-03-13;"Parc Leucate 2"
2012-03-18;"Parc Leucate 2";2012-03-13;"Parc Leucate 2"
2012-03-28;"Parc Leucate 2";2012-03-26;"Parc Leucate 2"
2012-04-07;"Parc Leucate 2";2012-04-10;"Parc Leucate 2"
2012-04-17;"Parc Leucate 2";2012-04-23;"Parc Leucate 2"
2013-03-03;"Parc Leucate 2";2013-03-04;"Parc Leucate 2"
2013-03-13;"Parc Leucate 2";2013-03-19;"Parc Leucate 2"
2014-01-07;"Parc Leucate 2";2014-01-06;"Parc Leucate 2"
2014-02-26;"Parc Leucate 2";2014-02-17;"Parc Leucate 2"
2014-03-08;"Parc Leucate 2";2014-03-10;"Parc Leucate 2"
2016-02-26;"Parc Leucate 2";2016-02-22;"Parc Leucate 2"
2017-02-10;"Parc Leucate 2";2017-01-30;"Parc Leucate 2"
2017-02-20;"Parc Leucate 2";2017-02-27;"Parc Leucate 2"
2018-02-05;"Parc Leucate 2";2018-01-29;"Parc Leucate 2"
2018-02-15;"Parc Leucate 2";2018-02-13;"Parc Leucate 2"
2018-02-25;"Parc Leucate 2";2018-03-05;"Parc Leucate 2"
2019-02-10;"Parc Leucate 2";2019-02-19;"Parc Leucate 2"
2019-02-20;"Parc Leucate 2";2019-02-19;"Parc Leucate 2"
2022-01-25;"Parc Leucate 2";2022-01-18;"Parc Leucate 2"
2022-05-25;"Parc Leucate 2";2022-06-07;"Parc Leucate 2"
2022-06-04;"Parc Leucate 2";2022-06-07;"Parc Leucate 2"
2022-06-14;"Parc Leucate 2";2022-06-20;"Parc Leucate 2"
