"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-08;"Point 1 Boulogne";2007-04-05;"Point 1 Boulogne"
2008-04-22;"Point 1 Boulogne";2008-04-22;"Point 1 Boulogne"
2008-05-02;"Point 1 Boulogne";2008-05-05;"Point 1 Boulogne"
2008-05-12;"Point 1 Boulogne";2008-05-05;"Point 1 Boulogne"
2008-05-22;"Point 1 Boulogne";2008-06-02;"Point 1 Boulogne"
2008-06-01;"Point 1 Boulogne";2008-06-02;"Point 1 Boulogne"
2009-03-08;"Point 1 Boulogne";2009-03-11;"Point 1 Boulogne"
2009-03-18;"Point 1 Boulogne";2009-03-11;"Point 1 Boulogne"
2010-01-12;"Point 1 Boulogne";2010-01-15;"Point 1 Boulogne"
2010-01-22;"Point 1 Boulogne";2010-01-15;"Point 1 Boulogne"
2010-02-01;"Point 1 Boulogne";2010-01-15;"Point 1 Boulogne"
2010-02-11;"Point 1 Boulogne";2010-02-23;"Point 1 Boulogne"
2010-02-21;"Point 1 Boulogne";2010-02-23;"Point 1 Boulogne"
2010-03-03;"Point 1 Boulogne";2010-03-02;"Point 1 Boulogne"
2011-03-08;"Point 1 Boulogne";2011-03-16;"Point 1 Boulogne"
2011-03-18;"Point 1 Boulogne";2011-03-16;"Point 1 Boulogne"
2013-06-25;"Point 1 Boulogne";2013-06-26;"Point 1 Boulogne"
2015-02-25;"Point 1 Boulogne";2015-03-05;"Point 1 Boulogne"
2015-03-07;"Point 1 Boulogne";2015-03-05;"Point 1 Boulogne"
2016-09-07;"Point 1 Boulogne";2016-09-05;"Point 1 Boulogne"
