"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-07-11;"Sète mer";2007-07-16;"Sète mer"
2007-07-21;"Sète mer";2007-07-16;"Sète mer"
2008-11-02;"Sète mer";2008-10-27;"Sète mer"
2008-11-12;"Sète mer";2008-11-12;"Sète mer"
2009-01-21;"Sète mer";2009-01-21;"Sète mer"
2011-11-27;"Sète mer";2011-11-28;"Sète mer"
2012-05-05;"Sète mer";2012-05-07;"Sète mer"
2012-05-15;"Sète mer";2012-05-07;"Sète mer"
2013-03-11;"Sète mer";2013-03-11;"Sète mer"
2013-06-09;"Sète mer";2013-06-10;"Sète mer"
2013-06-19;"Sète mer";2013-06-10;"Sète mer"
2013-06-29;"Sète mer";2013-07-01;"Sète mer"
2013-09-27;"Sète mer";2013-09-30;"Sète mer"
2013-10-07;"Sète mer";2013-09-30;"Sète mer"
2014-06-04;"Sète mer";2014-06-10;"Sète mer"
2014-06-14;"Sète mer";2014-06-10;"Sète mer"
2014-10-02;"Sète mer";2014-10-01;"Sète mer"
2014-10-12;"Sète mer";2014-10-13;"Sète mer"
2015-07-09;"Sète mer";2015-07-06;"Sète mer"
2015-11-06;"Sète mer";2015-11-09;"Sète mer"
2015-12-16;"Sète mer";2015-12-21;"Sète mer"
2015-12-26;"Sète mer";2015-12-21;"Sète mer"
2016-05-14;"Sète mer";2016-05-11;"Sète mer"
2020-03-24;"Sète mer";2020-03-23;"Sète mer"
2021-05-28;"Sète mer";2021-05-25;"Sète mer"
2021-06-17;"Sète mer";2021-06-21;"Sète mer"
2021-06-27;"Sète mer";2021-06-21;"Sète mer"
