"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-05;"Teychan bis";2007-04-10;"Teychan bis"
2007-08-03;"Teychan bis";2007-08-07;"Teychan bis"
2007-11-01;"Teychan bis";2007-10-31;"Teychan bis"
2010-05-19;"Teychan bis";2010-05-20;"Teychan bis"
2011-01-24;"Teychan bis";2011-01-27;"Teychan bis"
2011-02-03;"Teychan bis";2011-01-27;"Teychan bis"
2011-02-13;"Teychan bis";2011-02-11;"Teychan bis"
2011-02-23;"Teychan bis";2011-02-25;"Teychan bis"
2012-04-18;"Teychan bis";2012-04-13;"Teychan bis"
2014-07-17;"Teychan bis";2014-07-21;"Teychan bis"
2014-07-27;"Teychan bis";2014-07-21;"Teychan bis"
2018-02-26;"Teychan bis";2018-02-23;"Teychan bis"
2021-05-01;"Teychan bis";2021-05-04;"Teychan bis"
2021-11-17;"Teychan bis";2021-11-15;"Teychan bis"
2022-04-06;"Teychan bis";2022-04-11;"Teychan bis"
