"Datetosearch";"Code_point_Libelle";"Datefind";"Station"
2007-04-22;"les Hébihens";2007-04-23;"les Hébihens"
2007-05-02;"les Hébihens";2007-05-09;"les Hébihens"
2008-05-26;"les Hébihens";2008-05-27;"les Hébihens"
2008-06-05;"les Hébihens";2008-06-09;"les Hébihens"
2008-06-15;"les Hébihens";2008-06-09;"les Hébihens"
2009-03-12;"les Hébihens";2009-03-17;"les Hébihens"
2009-03-22;"les Hébihens";2009-03-17;"les Hébihens"
2011-05-11;"les Hébihens";2011-05-09;"les Hébihens"
2013-04-10;"les Hébihens";2013-04-15;"les Hébihens"
2013-10-07;"les Hébihens";2013-10-14;"les Hébihens"
2013-10-17;"les Hébihens";2013-10-14;"les Hébihens"
2013-10-27;"les Hébihens";2013-10-14;"les Hébihens"
2014-03-06;"les Hébihens";2014-03-10;"les Hébihens"
2014-03-16;"les Hébihens";2014-03-10;"les Hébihens"
2014-03-26;"les Hébihens";2014-03-24;"les Hébihens"
2015-05-10;"les Hébihens";2015-05-12;"les Hébihens"
2015-05-20;"les Hébihens";2015-05-12;"les Hébihens"
2015-05-30;"les Hébihens";2015-05-12;"les Hébihens"
2016-05-14;"les Hébihens";2016-05-17;"les Hébihens"
2018-04-24;"les Hébihens";2018-04-24;"les Hébihens"
2021-03-29;"les Hébihens";2021-03-23;"les Hébihens"
2021-04-08;"les Hébihens";2021-04-07;"les Hébihens"
2021-05-08;"les Hébihens";2021-05-03;"les Hébihens"
2021-05-18;"les Hébihens";2021-05-17;"les Hébihens"
2022-04-23;"les Hébihens";2022-04-26;"les Hébihens"
