"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2007-03-13;NA;"2007";NA;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-03-23;3,53181818181818;"2007";5,75102662640104;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-04-02;18,65;"2007";20,3873694747837;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-04-12;6,78571428571428;"2007";8,94428470059405;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-04-22;3,07125;"2007";4,24525477760692;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-05-02;4,79;"2007";4,46474619733537;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-05-12;5,76894736842105;"2007";5,11405318097192;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-05-22;6,3325;"2007";5,81170014285316;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-06-01;4,54714285714286;"2007";5,33352909946473;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-06-11;6,00428571428571;"2007";5,73778896870952;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-06-21;76,6007142857143;"2007";69,6603235911778;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-07-01;101,243333333333;"2007";92,1614742147398;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-07-11;72,25;"2007";65,2520506687116;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-07-21;30,0653846153846;"2007";25,4714969896304;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-07-31;12,132;"2007";10,2093086481751;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-08-10;5,76166666666667;"2007";3,94782253646461;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-08-20;4,07;"2007";2,97167975235078;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-08-30;6,10571428571429;"2007";5,89855941905922;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-09-09;11,8485714285714;"2007";12,4616237956055;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-09-19;16,7185714285714;"2007";16,3297869452045;"Ouest Loscolo";"OUI";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-09-29;8,21142857142857;"2007";7,49251131261587;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-10-09;6,20142857142857;"2007";5,64029768437194;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-10-19;6,898;"2007";6,77797218503811;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-10-29;9,218;"2007";8,10592663454979;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-11-08;9,92076923076923;"2007";9,87864429956715;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-11-18;8,26586206896552;"2007";9,20347221822283;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-11-28;5,15896551724138;"2007";6,5956144625131;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-12-08;2,05206896551724;"2007";4,13755303214383;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-12-18;1,145;"2007";3,32767893949451;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2007-12-28;1,18071428571429;"2007";3,31159047969059;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2008-01-07;1,21642857142857;"2008";3,82762042063987;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2008-01-17;2,44142857142857;"2008";5,54708814504862;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2008-01-27;2,76230769230769;"2008";5,89174414120061;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2008-02-06;2,01142857142857;"2008";5,24116917222249;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
2008-02-16;1,11857142857143;"2008";4,21058033550102;"Ouest Loscolo";"NON";NA;-0,202864593174861;5,84420693054724e-13;1,22177041390846e-11;5,84420693054724e-13;-0,00458021497925327
